region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
south bend / michiana,7500,2012.0,mazda,3,excellent,,gas,75011.0,rebuilt,automatic,fwd,compact,hatchback,silver,in,41.7101,-85.9729
olympic peninsula,25999,2019.0,dodge,charger,,6 cylinders,gas,45930.0,clean,automatic,rwd,,sedan,custom,wa,47.1991,-122.3151
central NJ,22645,2014.0,bmw,428 i,,,gas,77514.0,clean,automatic,,,other,black,nj,40.923344,-74.14336
imperial county,0,2015.0,chevrolet,silverado 1500,,8 cylinders,gas,93775.0,clean,automatic,4wd,,truck,,ca,33.75564,-116.286255
redding,21997,2007.0,toyota,"4runner sport edition 4dr suv 1-oregon owner*rust free* new bilstein lift*new 33""yokohama geolanders*new mk6 wheels*no accidents*tyger roof basket*all records since new",,6 cylinders,gas,171525.0,clean,automatic,4wd,,SUV,white,ca,45.5472,-122.5001
mobile,26690,2016.0,toyota,tacoma,,6 cylinders,gas,142702.0,clean,automatic,4wd,compact,pickup,silver,al,30.668785,-88.10587
akron / canton,26990,2014.0,lexus,ls 460 sedan 4d,good,,other,80984.0,clean,automatic,rwd,,sedan,red,oh,41.08,-81.52
austin,21500,2014.0,gmc,sierra 1500,like new,8 cylinders,gas,145000.0,clean,automatic,rwd,full-size,truck,black,tx,29.5563,-98.3643
dayton / springfield,27590,2020.0,volkswagen,golf gti s hatchback,good,,gas,1309.0,clean,other,fwd,,sedan,red,oh,39.77,-84.19
jackson,29995,2015.0,honda,odyssey ex-l,,,gas,22082.0,clean,automatic,,,,,mi,43.18672,-84.163864
hudson valley,3800,2004.0,ford,expedition eddie bauer 4x4,like new,8 cylinders,gas,180032.0,clean,automatic,4wd,full-size,SUV,red,ny,41.5372,-74.0526
south florida,6990,2009.0,honda,accord,,,gas,128500.0,clean,automatic,,full-size,sedan,green,fl,25.869873,-80.2427
lakeland,9500,2005.0,ram,2500,good,8 cylinders,gas,113275.0,clean,automatic,4wd,full-size,truck,silver,fl,28.01091,-82.15564
flagstaff / sedona,13495,2004.0,nissan,frontier,like new,6 cylinders,gas,100000.0,clean,automatic,rwd,mid-size,truck,black,az,35.1859,-111.662
san diego,252,2018.0,ford,escape se pre-owned,,4 cylinders,gas,,clean,automatic,4wd,,SUV,,ca,32.804043,-117.21777
eastern NC,5800,2013.0,ford,escape se,excellent,4 cylinders,gas,197000.0,clean,automatic,fwd,full-size,SUV,white,nc,35.13436,-77.065834
raleigh / durham / CH,0,2014.0,honda,odyssey touring elite,,,gas,152014.0,clean,automatic,,,,,nc,35.961742,-79.34553
memphis,29500,1963.0,lincoln,continental,,,gas,51973.0,clean,automatic,,,,,tn,33.6372,-96.6184
york,6200,2012.0,nissan,sentra sedan,good,4 cylinders,gas,104000.0,clean,automatic,fwd,,sedan,black,pa,39.941387,-76.70341
salem,44839,2020.0,jeep,grand cherokee trailhawk,,6 cylinders,gas,27280.0,clean,automatic,4wd,,SUV,,or,45.334793,-122.76208
battle creek,3495,2009.0,pontiac,g6,,,gas,158949.0,clean,automatic,,,,,mi,43.1824,-84.1122
waco,26990,2017.0,ram,1500 regular cab tradesman,good,6 cylinders,gas,31573.0,clean,other,,,pickup,white,tx,31.56,-97.18
central NJ,16985,2006.0,ford,e-series cargo,,,gas,16386.0,clean,automatic,fwd,,other,white,nj,40.87974,-74.61428
charlotte,8865,2013.0,volkswagen,jetta se 2.5,excellent,5 cylinders,gas,62166.0,rebuilt,automatic,fwd,mid-size,sedan,brown,nc,35.6863,-80.8822
syracuse,7995,2007.0,toyota,rav4,excellent,4 cylinders,gas,134784.0,clean,automatic,4wd,full-size,SUV,silver,ny,43.223553,-77.372475
stockton,36588,2018.0,ford,f-150 xlt,good,6 cylinders,gas,53671.0,clean,automatic,rwd,,pickup,white,ca,38.610767,-121.422554
bakersfield,38998,2018.0,mercedes-benz,e-class,excellent,,gas,,clean,automatic,rwd,,sedan,black,ca,36.83768,-119.80964
billings,6995,2008.0,hyundai,santa fe limited edition,,6 cylinders,gas,204674.0,clean,automatic,,,SUV,green,mt,45.614033,-108.38668
salt lake city,27990,2011.0,ford,f-750,good,6 cylinders,diesel,123622.0,clean,automatic,rwd,full-size,truck,white,ut,40.468784,-74.28171
dallas / fort worth,37590,2018.0,honda,civic type r touring,good,,gas,17745.0,clean,other,fwd,,sedan,red,tx,32.79,-96.76
"st louis, MO",3000,2004.0,lexus,es 330,excellent,6 cylinders,gas,191481.0,clean,automatic,fwd,mid-size,sedan,silver,il,38.574387,-90.33139
jackson,9999,2019.0,ford,fiesta,excellent,4 cylinders,gas,12000.0,rebuilt,automatic,fwd,mid-size,sedan,red,tn,35.8017,-89.1765
columbia,17800,2014.0,toyota,rav4,,,gas,63900.0,clean,automatic,,,,,sc,33.974754,-80.93937
"kansas city, MO",22450,2002.0,ford,thunderbird,,,gas,11520.0,clean,automatic,,,,,ks,38.864677,-94.37403
